,rid,client_id,gender,transcription,reference,split,weight,wer,cer
1082,train_1082,male_3,male," During the 1980s he worked on shows such as Taxi, Cheers and the Traci Alman Show.",during the 1980s he worked on shows such as taxi cheers and the tracy ullman show,train,0.13418803418803418,0.125,0.037037037037037035
1089,train_1089,male_4,male, Students can also submit questions to instructions at any time of day and expect reasonably quick responses rather than waiting until the next phase to phase meeting.,students can also submit questions to instructors at any time of day and expect reasonably quick responses rather than waiting until the next face-to-face meeting,train,0.1282051282051282,0.1111111111111111,0.04938271604938271
1091,train_1091,male_0,male," It is assumed to the US Navy 7 fleet and base in Sasebo Nagasaki, Il Japan.",it is assigned to the u.s. navy's seventh fleet and based in sasebo nagasaki in japan,train,0.11282051282051282,0.3888888888888889,0.13580246913580246
1092,train_1092,male_0,male, Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly positioned window can be a beautiful to behold.,many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold,train,0.11282051282051282,0.037037037037037035,0.028169014084507043
1096,train_1096,male_3,male, He even suggests that such abilities and interpreting human behavior may be shared by animals such as domestic dogs.,he even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs,train,0.13418803418803418,0.05263157894736842,0.017543859649122806
1098,train_1098,male_5,male," He produced over 1,000 stamps for Sweden and 28 other countries.","he produced over 1,000 stamps for sweden and 28 other countries",train,0.10683760683760683,0.0,0.0
1101,train_1101,male_7,male," If a rider is thrown from a horse, but has a foot caught in the stir-up, they could be dragged if the horse runs away. To minimize this risk, a number of safety precautions can be taken.",if a rider is thrown from a horse but has a foot caught in the stirrup they could be dragged if the horse runs away to minimize this risk a number of safety precautions can be taken,train,0.12991452991452992,0.05405405405405406,0.0055248618784530384
1105,train_1105,male_7,male, Make in carry copies of your policy and your insurers contact details with you.,make and carry copies of your policy and your insurer's contact details with you,train,0.12991452991452992,0.2,0.04938271604938271
1106,train_1106,male_4,male," For most countries, you will need an offer letter from the institution you wish to study at and also evidence of funds to support yourself for at least the first year of your course.",for most countries you will need an offer letter from the institution you wish to study at and also evidence of funds to support yourself for at least the first year of your course,train,0.1282051282051282,0.0,0.0
1110,train_1110,male_1,male, Zeyat was unheard in the accident.,zayat was unhurt in the accident,train,0.1170940170940171,0.3333333333333333,0.125
1111,train_1111,male_1,male," It's second claw was larger giving rise to the name Hesperonicus, which means Western claw.",its second claw was larger giving rise to the name hesperonychus which means western claw,train,0.1170940170940171,0.2,0.046511627906976744
1113,train_1113,male_1,male, Ecuador requires that Cuban citizens receive an invitation letter prior to entering Ecuador through international airports or frontier admission points.,ecuador requires that cuban citizens receive an invitation letter prior to entering ecuador through international airports or frontier admission points,train,0.1170940170940171,0.0,0.0
1119,train_1119,male_10,male, Germany code named the attack operations salion. Most of the British armies heavy weapons and supplies had been lost when it evacuated from Dunkirk so the army was fairly weak.,germany code-named the attack operation sealion most of the british army's heavy weapons and supplies had been lost when it evacuated from dunkirk so the army was fairly weak,train,0.09401709401709402,0.12903225806451613,0.02857142857142857
1121,train_1121,male_10,male, French law was changed his activism went back to age 15 when he joined the French war in Sancterino World War II.,french law was changed his activism went back to age 15 when he joined the french resistance during world war ii,train,0.09401709401709402,0.14285714285714285,0.10714285714285714
1122,train_1122,male_0,male," With a few REM SPAM night, this setting which we experience actually when your body recovers becomes infrequent enough to become a problem.",with fewer rems per night this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem,train,0.11282051282051282,0.4166666666666667,0.16901408450704225
1127,train_1127,male_1,male," Dr. Tony Mall discovered the extremely drug resistant tuberculosis, XDRTB, in the South African region, Kwasulu, Nato.",dr. tony moll discovered the extremely drug resistant tuberculosis xdr-tb in the south african region kwazulu-natal,train,0.1170940170940171,0.2777777777777778,0.0423728813559322
1128,train_1128,male_0,male, They are cool at and the surrounding service in the day and warm up night.,they are cooler than the surrounding surface in the day and warmer at night,train,0.11282051282051282,0.42857142857142855,0.16
1129,train_1129,male_10,male, It was based on the German alphabet and one character O slash O was added.,it was based on the german alphabet and one character õ/õ was added,train,0.09401709401709402,0.23076923076923078,0.10606060606060606
1130,train_1130,male_0,male," Don't forget to add in the extra quotes of additional visas, the patch taxes, ground transportation, ETC for all those places outside of Africa.",don't forget to add in the extra costs of additional visas departure taxes ground transportation etc for all those places outside of africa,train,0.11282051282051282,0.125,0.07857142857142857
1132,train_1132,male_10,male, Hiking is an outdoor activity which consists of walking in natural environments often on hiking trails.,hiking is an outdoor activity which consists of walking in natural environments often on hiking trails,train,0.09401709401709402,0.0,0.0
1134,train_1134,male_0,male," As mentioned above, though the word Eskimo remains acceptable in the United States, it is considered pejorative by many and US-actic peoples, especially in Canada.",as mentioned above though the word eskimo remains acceptable in the united states it is considered pejorative by many non-u.s. arctic peoples especially in canada,train,0.11282051282051282,0.14814814814814814,0.031055900621118012
1135,train_1135,male_4,male," While project based learning should make learning easier and more interesting, scaffolding does a step beyond.",while project based learning should make learning easier and more interesting scaffolding goes a step beyond,train,0.1282051282051282,0.0625,0.009259259259259259
1136,train_1136,male_11,male," We now have four months old mice that are known diabetic that is used to be diabetic, e-hodd-ed.","""we now have 4-month-old mice that are non-diabetic that used to be diabetic, he added",train,0.05897435897435897,0.3333333333333333,0.11904761904761904
1144,train_1144,male_4,male," Regarding the global financial situation, Zapatero continued by saying that the financial system is part of the economy, a crucial part.",regarding the global financial situation zapatero continued by saying that the financial system is a part of the economy a crucial part,train,0.1282051282051282,0.045454545454545456,0.014814814814814815
1148,train_1148,male_7,male, 2.2. Common KB-62 KB-62 may be the most famous of the tombs in the valley. The scene of Howard Carter's 1922 discovery on the almost intact royal burial of the young king.,tomb of tutankhamun kv62. kv62 may be the most famous of the tombs in the valley the scene of howard carter's 1922 discovery of the almost intact royal burial of the young king,train,0.12991452991452992,0.16666666666666666,0.10674157303370786
1149,train_1149,male_10,male, willingness of foreign government makes to honor these documents is just as widely variable.,willingness of foreign governments to honour these documents is just as widely variable,train,0.09401709401709402,0.15384615384615385,0.05813953488372093
1150,train_1150,male_3,male, No one was inside the apartment.,no one was inside the apartment,train,0.13418803418803418,0.0,0.0
1152,train_1152,male_0,male," A few weeks ago, after the information published by the journalist Maki's Tritof Fiorlo Polos in his popular television show Zogla in Fati V. The member of Parliament and lawyer Petros Montovalos was addicted as member of his office had been involved in illegal craft and corruption.",a few weeks ago after the information published by the journalist makis triantafylopoulos in his popular television show zoungla in alpha tv the member of parliament and lawyer petros mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption,train,0.11282051282051282,0.26666666666666666,0.0880281690140845
1155,train_1155,male_11,male, January John Cut Walter would launch a visionary attack against a British garrison at the bottom of the town in order to block off any refurbishment.,general john cadwalder would launch a diversionary attack against the british garrison at bordentown in order to block off any reinforcements,train,0.05897435897435897,0.5238095238095238,0.28368794326241137
1157,train_1157,male_5,male, Preoperative transgender people should not expect the past to the scanners with their privacy and dignity intact.,pre-operative transgender people should not expect to pass through the scanners with their privacy and dignity intact,train,0.10683760683760683,0.2777777777777778,0.07692307692307693
1162,train_1162,male_4,male," In third, Hamlin is 20 points behind, but five ahead of Boyer, Kanye and Terro Jr., fifth and sixth respectively, with 2000-20 and 2000-27 points.","in third hamlin is twenty points behind but five ahead of bowyer kahne and truex jr are fifth and sixth respectively with 2,220 and 2,207 points",train,0.1282051282051282,0.3076923076923077,0.14285714285714285
1166,train_1166,male_3,male," The next picture shows the atoms emitting photons. Of course, in reality, photons are a lot smaller than those in the picture.",the next picture shows the atoms emitting photons of course in reality photons are a lot smaller than those in the picture,train,0.13418803418803418,0.0,0.0
1168,train_1168,male_4,male," The fatalities were Nicolas Alden, 25 and Zachary could about 21. Could the back had been the driver.",the fatalities were nicholas alden 25 and zachary cuddeback 21 cuddeback had been the driver,train,0.1282051282051282,0.4,0.15217391304347827
1183,train_1183,male_5,male," Ten years later, you know, the Soviet party of Apollo Soyuz mission symbolizing that the space race was over.",ten years later he led the soviet part of the apollo-soyuz mission symbolizing that the space race was over,train,0.10683760683760683,0.2,0.11320754716981132
1188,train_1188,male_1,male," Rules regarding regular photography also apply to video recording, possibly even more so.",rules regarding regular photography also apply to video recording possibly even more so,train,0.1170940170940171,0.0,0.0
1199,train_1199,male_7,male, But the consumer market on laptop computer will be radically buried and changed after AS US was awarded in the 2007 Taiwan Substantial Award by Executive 1 of the Republic of China.,but the consumer market on laptop computer will be radically varied and changed after asus was awarded in the 2007 taiwan sustainable award by executive yuan of the republic of china,train,0.12991452991452992,0.16129032258064516,0.07142857142857142
1200,train_1200,male_4,male," Because calls are rather over the internet, if you not need to use a phone company located where you live or where you trust it.",because calls are routed over the internet you do not need to use a phone company located where you live or where you travel,train,0.1282051282051282,0.20833333333333334,0.12096774193548387
1201,train_1201,male_1,male," This was more like the four states of matter in the same order. Solid, liquid, gas, and plasma, though he also theorized that they changed into new substances to form what we see.",this was more like the four states of matter in the same order: solid liquid gas and plasma though he also theorised that they change into new substances to form what we see,train,0.1170940170940171,0.030303030303030304,0.005917159763313609
1202,train_1202,male_4,male, A exhilarating communication between people who have different community community.,auxiliary languages are artificial or constructed languages created with the intent of facilitating communication between peoples who would otherwise have difficulty communicating,train,0.1282051282051282,0.8636363636363636,0.659217877094972
1204,train_1204,male_3,male, Every train has both metro plus and metro coaches. The metro plus coaches are always on the end of the train nearest Cape Town.,every train has both metroplus and metro coaches the metroplus coaches are always on the end of the train nearest cape town,train,0.13418803418803418,0.18181818181818182,0.04878048780487805
1208,train_1208,male_7,male, There are many different film formats that have been used over the years. Standard 35mm film 36x24mm negative is much the commonest.,there are many different film formats that have been used over the years. standard 35 mm film 36 by 24 mm negative is much the commonest,train,0.12991452991452992,0.125,0.06201550387596899
1209,train_1209,male_1,male," If you look at living things under a microscope, you will see that they are made of small squares or balls.",if you look at living things under a microscope you will see that they are made of small squares or balls,train,0.1170940170940171,0.0,0.0
1210,train_1210,male_1,male, They do this by emitting a tiny particle of light called the photon.,they do this by emitting a tiny particle of light called a photon,train,0.1170940170940171,0.07692307692307693,0.046153846153846156
1214,train_1214,male_7,male, International sanctions have meant that newer craft cannot be purchased.,international sanctions have meant that new aircraft cannot be purchased,train,0.12991452991452992,0.2,0.05555555555555555
1215,train_1215,male_1,male," Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.",natural factors can intersect to produce ideal conditions allowing this algae to increase in number dramatically,train,0.1170940170940171,0.0,0.0
1217,train_1217,male_7,male," Eventually, after thousands or even millions of years, the two populations will look so different that they cannot be called the same species.",eventually after thousands or even millions of years the two populations will look so different that they can't be called the same species,train,0.12991452991452992,0.08333333333333333,0.007462686567164179
1219,train_1219,male_1,male," The K-Juneer crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",piquet jr crashed in the 2008 singapore grand prix just after an early pit stop for fernando alonso bringing out the safety car,train,0.1170940170940171,0.13043478260869565,0.061068702290076333
1221,train_1221,male_7,male, Everyone can achieve enlightenment. The only thing standing in the way of the skull is our own tension and negativity.,everyone can achieve enlightenment the only thing standing in the way of this goal is our own tension and negativity,train,0.12991452991452992,0.1,0.05172413793103448
1224,train_1224,male_3,male," In the last three months, over 80 arrests were released from the Central Booking Facility without being formally charged.",in the last 3 months over 80 arrestees were released from the central booking facility without being formally charged,train,0.13418803418803418,0.05263157894736842,0.017094017094017096
1226,train_1226,male_10,male, Pureland or Gamy is origami with the restriction that only one fold may be done at that time or complex folds like reverse folds are not allowed and all folds have straightforward locations.,pureland origami is origami with the restriction that only one fold may be done at a time more complex folds like reverse folds are not allowed and all folds have straightforward locations,train,0.09401709401709402,0.125,0.03723404255319149
1227,train_1227,male_7,male, NASA's Shuttle Program Chief in Wayne Hale Jr. said the foam had fallen after the time we are concerned about.,nasa's shuttle program chief n wayne hale jr said the foam had fallen after the time we are concerned about,train,0.12991452991452992,0.047619047619047616,0.008928571428571428
1228,train_1228,male_1,male, Access to these services is often through a toll-free telephone number that can be called from most phones without charge.,access to these services is often through a toll-free telephone number that can be called from most phones without charge,train,0.1170940170940171,0.0,0.0
1229,train_1229,male_5,male, As first we know there's only one planetary body that displays more dynamism and Titan and its name is Earth at its stove farm.,as far as we know there is only one planetary body that displays more dynamism than titan and its name is earth added stofan,train,0.10683760683760683,0.2916666666666667,0.1532258064516129
1230,train_1230,male_0,male," In developed countries, you are seldom here similar levels of complaints about water, quality or bridges falling down.",in developed countries you seldom hear similar levels of complaints about water quality or bridges falling down,train,0.11282051282051282,0.11764705882352941,0.05405405405405406
1231,train_1231,male_5,male," The day landings and the falling battles had freedom north of France, but the South still wasn't free.",the d-day landings and the following battles had freed the north of france but the south still wasn't free,train,0.10683760683760683,0.19047619047619047,0.08411214953271028
1234,train_1234,male_5,male," Jerusalem has many historic archaeological and cultural sites along with vibrant and crowded shopping centers, cafes and restaurants.",jerusalem has many historic archeological and cultural sites along with vibrant and crowded shopping centers cafés and restaurants,train,0.10683760683760683,0.0,0.0
1240,train_1240,male_10,male, This term derives from the ancient familiar with bedboats with dark and sex highly adapted to Paris site human.,this term derives from ancient familiarity with bed-bugs which are insects highly adapted to parasitize humans,train,0.09401709401709402,0.5882352941176471,0.23636363636363636
1242,train_1242,male_3,male," Hezboon-Nikus Elizabethae is a species of the family drama, oh, sorry day, and is a cousin of Velociraptor.",hesperonychus elizabethae is a species of the family dromaeosauridae and is a cousin of velociraptor ,train,0.13418803418803418,0.4,0.17
1245,train_1245,male_11,male, That energy is a completely invisible first that is constantly acting upon the universe.,dark energy is a completely invisible force that is constantly acting upon the universe,train,0.05897435897435897,0.14285714285714285,0.10344827586206896
1253,train_1253,male_1,male," Bachman, who won the Ames' straw pool in August, decided to end her campaign.",bachmann who won the ames straw poll in august decided to end her campaign,train,0.1170940170940171,0.14285714285714285,0.02702702702702703
1255,train_1255,male_10,male, There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the West into India who brought their language with them.,there are many theories to how sanskrit came into existence one of them is about an aryan migration from the west into india who brought their language with them,train,0.09401709401709402,0.0,0.0
1256,train_1256,male_0,male, The capsules will look much like a shooting star going across the sky.,the capsule will look much like a shooting star going across the sky,train,0.11282051282051282,0.07692307692307693,0.014705882352941176
1260,train_1260,male_0,male," Luckily, nothing happened to me, but I saw a macabre scene as people try to break windows in order to get out.",luckily nothing happened to me but i saw a macabre scene as people tried to break windows in order to get out,train,0.11282051282051282,0.045454545454545456,0.027522935779816515
1263,train_1263,male_7,male, virtually all computers in use today are based on the manipulation of information which is coded in the form of binary numbers.,virtually all computers in use today are based on the manipulation of information which is coded in the form of binary numbers,train,0.12991452991452992,0.0,0.0
1266,train_1266,male_4,male, Your hotel or host staying in the guest house or private home will likely have Wi-Fi or an internet connected PC and all settlements have an internet cafe or some location with public Wi-Fi.,your hotel or hosts if staying in a guesthouse or private home will likely have wifi or an internet connected pc and all settlements have an internet cafe or some location with public wifi,train,0.1282051282051282,0.2647058823529412,0.05319148936170213
1267,train_1267,male_1,male," After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",after it became apparent that many families were seeking legal help to fight the evictions a meeting was held on march 20 at the east bay community law center for the victims of the housing scam,train,0.1170940170940171,0.0,0.0
1269,train_1269,male_5,male, These requirements and costs vary from nation to nation and are affected by the country you come from.,visa requirements and costs vary from nation to nation and are affected by the country you come from,train,0.10683760683760683,0.05555555555555555,0.04
1270,train_1270,male_7,male," However, nowadays there are established graffiti artists, graffiti events and legal walls. Graffiti paintings in this context often resemble artworks rather than eligible tags.",however nowadays there are established graffiti artists graffiti events and legal walls graffiti paintings in this context often resemble artworks rather than illegible tags,train,0.12991452991452992,0.041666666666666664,0.017341040462427744
1271,train_1271,male_4,male, Car camping is possible if you have a large minivan SUV sedan or station wagon with seats that lay down,car camping is possible if you have a large minivan suv sedan or station wagon with seats that lay down,train,0.1282051282051282,0.0,0.0
1273,train_1273,male_3,male," Moreover, failure to do so has serious consequences. Growth depression, malnutrition and ultimately death.",moreover failure to do so has serious consequences growth depression malnutrition and ultimately death,train,0.13418803418803418,0.0,0.0
1276,train_1276,male_4,male," The ACMA also found that despite the video being streamed on the internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.",the acma also found that despite the video being streamed on the internet big brother had not breached online content censorship laws as the media had not been stored on big brother's website,train,0.1282051282051282,0.0,0.0
1277,train_1277,male_10,male, Everyone know heavy traffic delayed report on the belt weight the city's ultimate route.,there were no heavy traffic delays reported on the beltway the city's alternate route,train,0.09401709401709402,0.5333333333333333,0.26744186046511625
1278,train_1278,male_10,male, Greatest selfishness will always be with us and it is nature of cooperation that when the majority benefit their will always be more to gain in the short term by acting selfishly.,greed and selfishness will always be with us and it is the nature of cooperation that when the majority benefit there will always be more to gain in the short term by acting selfishly,train,0.09401709401709402,0.11764705882352941,0.06557377049180328
1280,train_1280,male_5,male, They are listed on the UNESCO World Heritage List.,they are listed on the unesco world heritage list,train,0.10683760683760683,0.0,0.0
1283,train_1283,male_3,male," Workers must often get their superior approval for any decisions they make, and are expected to obey their superior instructions without question.",workers must often get their superiors' approval for any decisions they make and are expected to obey their superiors' instructions without question,train,0.13418803418803418,0.09090909090909091,0.0136986301369863
1285,train_1285,male_5,male," In June 28, Marshall, a tallo ballbow, the governor general of Libya and apparent air to Mussolini, was killed by friendly fire while landing into Brook.",on june 28 marshal italo balbo the governor-general of libya and apparent heir to mussolini was killed by friendly fire while landing in tobruk,train,0.10683760683760683,0.32,0.09090909090909091
1286,train_1286,male_3,male, Many governments require visitors entering or residents leaving their countries to be vaccinated for a range of diseases.,many governments require visitors entering or residents leaving their countries to be vaccinated for a range of diseases,train,0.13418803418803418,0.0,0.0
1292,train_1292,male_0,male, The syphnic is set at the back and the reds of the long story.,the sphinx is set as the backdrop and the narrator of a long story,train,0.11282051282051282,0.35714285714285715,0.2878787878787879
1296,train_1296,male_0,male," They provide greater stability for the rider, but can have safety concern due to the potential for riders feet to get stuck in them.",they provide greater stability for the rider but can have safety concerns due to the potential for a rider's feet to get stuck in them,train,0.11282051282051282,0.15384615384615385,0.037037037037037035
1300,train_1300,male_4,male, Ata Koya has since been an Edmund Burrell Sheriff Court charged with murdering her son.,adekoya has since been in edinburgh sheriff court charged with murdering her son,train,0.1282051282051282,0.38461538461538464,0.15
1303,train_1303,male_3,male, Rules regarding regular photography also applied to video recording possibly even more so.,rules regarding regular photography also apply to video recording possibly even more so,train,0.13418803418803418,0.07692307692307693,0.034482758620689655
1305,train_1305,male_7,male, It is not something to be ashamed of. It is no different from the personal fears and dislikes of other things that very many people have.,it is not something to be ashamed of it is no different from the personal fears and dislikes of other things that very many people have,train,0.12991452991452992,0.0,0.0
1308,train_1308,male_3,male," Other biorism rhythm-based options involve drinking lots of fluid, particularly water or tea, a known diuretic prior to sleep, forcing one to get up to your night.",other biorhythm-based options involve drinking lots of fluid particularly water or tea a known diuretic prior to sleep forcing one to get up to urinate,train,0.13418803418803418,0.15384615384615385,0.07947019867549669
1309,train_1309,male_10,male," The goal running towards success or goal running towards networks, dozens of site running providers on four continents.",the global running tours successor go running tours networks dozens of sightrunning providers on four continents,train,0.09401709401709402,0.5,0.12844036697247707
1310,train_1310,male_5,male," Subculture can be distinctive because of the age, ethnicity, class, location, and or gender of the members.",subcultures can be distinctive because of the age ethnicity class location and/or gender of the members,train,0.10683760683760683,0.058823529411764705,0.009708737864077669
1313,train_1313,male_0,male, This fully feathered one bladed bar of the spray will be believed to have worked upright on two legs with claws like the Villeux Xeraptor.,this fully feathered warm blooded bird of prey was believed to have walked upright on two legs with claws like the velociraptor,train,0.11282051282051282,0.45454545454545453,0.24
1314,train_1314,male_10,male, An official with the gas company was reporting to the scene after an April call about a gas leak.,an official with the gas company was reporting to the scene after a neighbor called about a gas leak,train,0.09401709401709402,0.15789473684210525,0.1
1318,train_1318,male_0,male, In all cases you must book by phone directly with L.,in all cases you must book by phone directly with the airline,train,0.11282051282051282,0.16666666666666666,0.16393442622950818
1320,train_1320,male_5,male, They are listed on the UNESCO World Heritage List.,they are listed on the unesco world heritage list,train,0.10683760683760683,0.0,0.0
1322,train_1322,male_4,male, The report showed test scores had increased and plausibly fast and led to the score internally detected problems but didn't act on the findings.,the report showed test scores had increased implausibly fast and alleged the school internally detected problems but didn't act on the findings,train,0.1282051282051282,0.21739130434782608,0.09027777777777778
1323,train_1323,male_10,male," By 1739, the Polish defense was already broken and the only hope was to retreat and reorganize along the Romanian bridgehead.",by september 17 1939 the polish defense was already broken and the only hope was to retreat and reorganise along the romanian bridgehead,train,0.09401709401709402,0.13043478260869565,0.09558823529411764
1324,train_1324,male_5,male," The 30-year-old husband was born in Buffalo, was one of the four killed in the shooting, but his wife was not heard.",the 30-year-old husband who was born in buffalo was one of the four killed in the shooting but his wife was not hurt,train,0.10683760683760683,0.08,0.061946902654867256
1325,train_1325,male_0,male," Long to create interactive media requires conventional and traditional skill, as well as toolmastering interactive classes. Storyboarding audio and video editing storytelling ETC.",learning to create interactive media requires conventional and traditional skills as well as tools mastered in interactive classes storyboarding audio and video editing story telling etc.,train,0.11282051282051282,0.2692307692307692,0.06989247311827956
1327,train_1327,male_1,male," An example is visiting photographing, photographing, and learning about orangutans in Borneo.",an example is visiting photographing and learning about organgatuangs in borneo,train,0.1170940170940171,0.18181818181818182,0.22784810126582278
1328,train_1328,male_4,male, Workers must often get their superiors approval for any decisions they make and are expected to obey their superiors instruction without question.,workers must often get their superiors' approval for any decisions they make and are expected to obey their superiors' instructions without question,train,0.1282051282051282,0.045454545454545456,0.00684931506849315
1331,train_1331,male_1,male, If they sent things off by air freight on some routes it may have taken days to get through unloading and customs.,if they sent things by air freight on some routes it may have taken days to get through unloading and customs,train,0.1170940170940171,0.047619047619047616,0.03669724770642202
1333,train_1333,male_1,male," In contrast, animal foods and termites eggs not only are easily digestible, but they provide high quantity proteins that contain all the essential amino acids.",in contrast animal foods ants termites eggs not only are easily digestible but they provide high-quantity proteins that contain all the essential amino acids,train,0.1170940170940171,0.04,0.012738853503184714
1335,train_1335,male_5,male," Fire Captain Scott Cuncid, it was a hot day in the Santa Clara with temperatures in the 90s.",fire captain scott kouns said it was a hot day in the santa clara with temperatures in the 90s,train,0.10683760683760683,0.10526315789473684,0.06382978723404255
1336,train_1336,male_7,male," 800 miles of the trans-alaska pipeline system were closed down following the spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",800 miles of the trans-alaska pipeline system were closed down following a spill of thousands of barrels of crude oil south of fairbanks alaska,train,0.12991452991452992,0.04,0.02158273381294964
1337,train_1337,male_3,male, My space is the third most popular website used in the United States and has 54 million profiles currently.,myspace is the third most popular website used in the united states and has 54 million profiles currently,train,0.13418803418803418,0.11764705882352941,0.009900990099009901
1338,train_1338,male_1,male," There are also a few buses going north to Hebron, the traditional burial place of the Biblical Patriarchs Abraham, Isaac, Jacob and their wives.",there are also a few buses going north to hebron the traditional burial place of the biblical patriarchs abraham isaac jacob and their wives,train,0.1170940170940171,0.0,0.0
1339,train_1339,male_10,male, 14 schools in Hawaii located on or near to coastlines were close all of us a despite the warnings being lifted.,fourteen schools in hawaii located on or near coastlines were closed all of wednesday despite the warnings being lifted,train,0.09401709401709402,0.21052631578947367,0.09734513274336283
1345,train_1345,male_3,male," And then back to the north through the west, once again crossing the Mara River after the rains in around April.",and then back to the north through the west once again crossing the mara river after the rains in around april,train,0.13418803418803418,0.0,0.0
1346,train_1346,male_11,male, A visit to the site can be conveniently combined with a board strip to the lake.,a visit to the site can be conveniently combined with a boat trip to the lake,train,0.05897435897435897,0.125,0.03896103896103896
1353,train_1353,male_10,male, The road where the crash happened was temporary close wall and the Mercedes-Benz 3D driver from the red-oddy TT.,the road where the crash happened was temporarily closed while emergency services freed the driver from the red audi tt,train,0.09401709401709402,0.5,0.24369747899159663
1355,train_1355,male_3,male," Well, this is a very common activity. It is prohibited by Disney. The tickets are non-transferable.",while this is a very common activity it is prohibited by disney the tickets are non-transferable,train,0.13418803418803418,0.058823529411764705,0.03125
1358,train_1358,male_3,male, The colony begins a nomadic phase when available food has decreased. During this phase the colony makes temporary nests that are changed every day.,the colony begins a nomadic phase when available food has decreased during this phase the colony makes temporary nests that are changed everyday,train,0.13418803418803418,0.08695652173913043,0.006944444444444444
1360,train_1360,male_1,male," After the match, King of Clay said I'm just excited about being back in the final rounds of the most important events. I am here to try to win this.",after the match king of clay said i am just excited about being back in the final rounds of the most important events i am here to try to win this,train,0.1170940170940171,0.0,0.0
1361,train_1361,male_5,male," The main Amazon River is 6,387 kilometers, 3,980 miles. It collects water from thousands of smaller rivers.","the main amazon river is 6,387 km 3,980 miles. it collects water from thousands of smaller rivers",train,0.10683760683760683,0.058823529411764705,0.08888888888888889
1362,train_1362,male_7,male," Searches at security checkpoints have also become far more inclusive in the post September 11, 2001.",searches at security checkpoints have also become far more intrusive in the post-september 11 2001 era,train,0.12991452991452992,0.11764705882352941,0.058823529411764705
1363,train_1363,male_4,male," The screen of Bird from Leathlete to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, marshland near line in the east of France.",the strain of bird flu lethal to humans h5n1 has been confirmed to have infected a dead wild duck found on monday in marshland near lyon in the east of france,train,0.1282051282051282,0.14705882352941177,0.10429447852760736
1364,train_1364,male_3,male," The civilization flourished in the basins of the Indus River, wherefore it drives its name.",the civilisation flourished in the basins of the indus river wherefore it derives its name,train,0.13418803418803418,0.13333333333333333,0.022222222222222223
1366,train_1366,male_7,male, Alecoya has since been an Edenburg Sheriff Court charged with murdering her son.,adekoya has since been in edinburgh sheriff court charged with murdering her son,train,0.12991452991452992,0.23076923076923078,0.0625
1367,train_1367,male_4,male," If visiting a formerly arranged garden, collecting specimens is also going to get rejected without discussion.",if visiting a formally arranged garden collecting specimens is also going to get you ejected without discussion,train,0.1282051282051282,0.17647058823529413,0.05405405405405406
1370,train_1370,male_4,male," Others are alleged to have brought it by animals, some are said to have lived in the wild on the road.",others are alleged to have been brought up by animals some are said to have lived in the wild on their own,train,0.1282051282051282,0.18181818181818182,0.10377358490566038
1371,train_1371,male_7,male, The failure of the second sentence which proposes to ban same sect civil unions could possibly open the door for civil unions in the future.,the failure of the second sentence which proposes to ban same-sex civil unions could possibly open the door for civil unions in the future,train,0.12991452991452992,0.04,0.014814814814814815
1375,train_1375,male_4,male," Last week, naked news announced that it would dramatically increase its international language mandate to news reporting with three new broadcasts.",last week naked news announced that it would dramatically increase its international language mandate to news reporting with three new broadcasts,train,0.1282051282051282,0.0,0.0
1379,train_1379,male_0,male, In an interview we say that the new variant was very highly troubling and alarming because of the very high vatalt rate.,in an interview he said the new variant was very highly troubling and alarming because of the very high fatality rate,train,0.11282051282051282,0.19047619047619047,0.08547008547008547
1381,train_1381,male_11,male, We perceive the first key system to be a safety zone for these children.,we perceive the foster care system to be a safety zone for these children,train,0.05897435897435897,0.14285714285714285,0.1095890410958904
1384,train_1384,male_1,male," According to Anse, police were concerned by a couple of top-level heads they feared might spark a full-blown war of succession.",according to ansa police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession,train,0.1170940170940171,0.08695652173913043,0.03225806451612903
1389,train_1389,male_5,male, This however is a very hard problem to solve and will take many years before we see useful fusion reactors built.,this however is a very hard problem to solve and will take many years before we see useful fusion reactors built,train,0.10683760683760683,0.0,0.0
1390,train_1390,male_0,male," It is nearly impossible to exchange for clans currency outside of the island, so exchange money prior to leaving the island.",it is nearly impossible to exchange falklands currency outside of the islands so exchange money prior to leaving the islands,train,0.11282051282051282,0.2,0.056451612903225805
1391,train_1391,male_3,male, These requirements often may often depend on what countries a travel has visited or intense to visit.,these requirements may often depend on what countries a traveller has visited or intends to visit,train,0.13418803418803418,0.1875,0.10416666666666667
